类型,链接,标题,内容
Definition,https://statproofbook.github.io//D/rexp,Random experiment,
Definition,https://statproofbook.github.io//D/samp-spc,Sample space,
Definition,https://statproofbook.github.io//D/eve-spc,Event space,
Definition,https://statproofbook.github.io//D/prob-spc,Probability space,
Definition,https://statproofbook.github.io//D/reve,Random event,
Definition,https://statproofbook.github.io//D/rvar,Random variable,
Definition,https://statproofbook.github.io//D/rvec,Random vector,
Definition,https://statproofbook.github.io//D/rmat,Random matrix,
Definition,https://statproofbook.github.io//D/const,Constant,
Definition,https://statproofbook.github.io//D/rvar-disc,Discrete vs. continuous,
Definition,https://statproofbook.github.io//D/rvar-uni,Univariate vs. multivariate,
Definition,https://statproofbook.github.io//D/prob,Probability,
Definition,https://statproofbook.github.io//D/prob-joint,Joint probability,
Definition,https://statproofbook.github.io//D/prob-marg,Marginal probability,
Definition,https://statproofbook.github.io//D/prob-cond,Conditional probability,
Definition,https://statproofbook.github.io//D/prob-exc,Exceedance probability,
Definition,https://statproofbook.github.io//D/ind,Statistical independence,
Definition,https://statproofbook.github.io//D/ind-cond,Conditional independence,
Proof,https://statproofbook.github.io//P/prob-ind,Probability under independence,
Definition,https://statproofbook.github.io//D/exc,Mutual exclusivity,
Proof,https://statproofbook.github.io//P/prob-exc,Probability under exclusivity,
Definition,https://statproofbook.github.io//D/prob-ax,Axioms of probability,
Proof,https://statproofbook.github.io//P/prob-mon,Monotonicity of probability,
Proof,https://statproofbook.github.io//P/prob-emp,Probability of the empty set,
Proof,https://statproofbook.github.io//P/prob-comp,Probability of the complement,
Proof,https://statproofbook.github.io//P/prob-range,Range of probability,
Proof,https://statproofbook.github.io//P/prob-add,Addition law of probability,
Proof,https://statproofbook.github.io//P/prob-tot,Law of total probability,
Proof,https://statproofbook.github.io//P/prob-exh,Probability of exhaustive events,
Proof,https://statproofbook.github.io//P/prob-exh2,Probability of exhaustive events,
Definition,https://statproofbook.github.io//D/dist,Probability distribution,
Definition,https://statproofbook.github.io//D/dist-joint,Joint distribution,
Definition,https://statproofbook.github.io//D/dist-marg,Marginal distribution,
Definition,https://statproofbook.github.io//D/dist-cond,Conditional distribution,
Definition,https://statproofbook.github.io//D/dist-samp,Sampling distribution,
Definition,https://statproofbook.github.io//D/pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/pmf-sumind,Probability mass function of sum of independents,
Proof,https://statproofbook.github.io//P/pmf-sifct,Probability mass function of strictly increasing function,
Proof,https://statproofbook.github.io//P/pmf-sdfct,Probability mass function of strictly decreasing function,
